w,Time,omid,zmid2,zmid1,tbar_1,o_1,z2_1,z1_1,tbar_2,o_2,z2_2,z1_2
0.02,0.0566,5.0340410680390574e-06,1.7365633752400214e-06,0.0027570044097363767,5.725529076378826e-07,3.66708154718383e-08,2.4119665569766294e-10,9.798226144952496e-05,2.0796732196686416e-12,2.443191184142031e-11,8.245391460656667e-11,5.410807264178409e-06
0.04,0.0944,2.347868545335873e-05,4.744200543731153e-06,0.005289354589401056,3.3821281473257688e-06,4.925550258734873e-07,1.2157854037183087e-08,0.00042141357075978615,2.674734898249524e-08,8.024070488407316e-11,8.451472934048812e-12,1.5754327105100078e-05
0.06,0.1253,4.7093236451449896e-05,9.1468086839243e-06,0.007912902982820526,6.04041257924047e-06,1.692257643815628e-06,4.082156299673287e-08,0.0009989290830789356,1.3272065334137842e-07,1.2652136571036695e-08,4.9538842928882666e-12,4.3332031160274174e-05
0.08,0.1516,7.979270940515556e-05,1.5027321241894795e-05,0.010768556812235805,1.0222066621609923e-05,3.938137089334669e-06,9.849533931386046e-08,0.0018827100182478632,6.386491761509455e-13,9.624164716809081e-13,3.4054552234192243e-12,7.90744644021824e-05
0.1,0.1743,0.00013834732253621264,2.9576808283004183e-05,0.013806675434245224,2.0194809974576068e-05,9.927801157087537e-06,3.845527032108162e-07,0.003056195206475364,2.8503580617836156e-12,3.895584684028491e-13,3.743078265356554e-13,0.0001340358245233674
0.12,0.1941,0.0002105204428142812,4.123471953949599e-05,0.017408448102555776,3.1906889774671066e-05,1.920357521662902e-05,5.840950656656009e-07,0.004710516506435248,6.089856902904988e-11,2.387893154513511e-10,8.604216627399063e-12,0.0002121674848671969
0.14,0.2113,0.0003125423402235561,7.29740956698871e-05,0.02178758262336341,5.5544814753527336e-05,4.581006848897916e-05,2.2480223658241123e-06,0.006986045902075649,3.294182228040419e-10,2.596842527348213e-15,1.3463838606093204e-11,0.00033107082944696677
0.16,0.2262,0.000455394829604377,0.00010521562061246463,0.027209192410048547,8.602673890945613e-05,8.817829654213312e-05,6.03941231510863e-06,0.010040169761444343,8.529249080698864e-14,3.5187831530664335e-12,7.37021091994576e-12,0.0005142607019441527
0.18,0.2389,0.0006228756391248563,0.00016778362688475777,0.033205741841103725,0.00012518142391880341,0.00015465052670336684,1.2410622758765077e-05,0.013578930841721614,1.5325267729866377e-09,6.445503281921839e-12,3.331220740497518e-12,0.0008506504370041237
0.2,0.2502,0.0007119495690192147,0.00016062058178934247,0.03560652997127606,0.00013312510726149883,0.00017743109399775964,1.3825746515279174e-05,0.014918242693449437,4.161587401754572e-09,3.5521628838118525e-13,1.8464146439061066e-12,0.0013261511260363866
