w,Time,omid,zmid2,zmid1,tbar_1,o_1,z2_1,z1_1,tbar_2,o_2,z2_2,z1_2,tbar_3,o_3,z2_3,z1_3,tbar_4,o_4,z2_4,z1_4
0.02,0.0566,6.8817941593019355e-06,2.181057001043644e-06,0.0027560527563526465,1.139834757770086e-06,1.229956451558796e-07,5.002986316696942e-09,9.998230018681951e-05,1.780025381890409e-10,5.614912292792465e-12,7.350346388169676e-12,3.987745621492939e-06,8.876681132707935e-11,0.00010377198327038583,6.199718567051025e-07,6.858036321816062e-05,9.763977526667422e-10,1.9471005581177787e-09,3.3209174195629365e-07,0.00016689994640383868
0.04,0.0944,2.1592818673799355e-05,6.2031501642111325e-06,0.005293826927678906,2.5803703421772964e-06,3.119899937935381e-07,7.152206103780061e-09,0.00042462501794106664,3.036646524388297e-15,8.170499614387141e-15,1.3932489055072374e-14,1.5125631909221142e-05,1.4466261483646612e-18,0.0009287716441056772,1.4017826575425332e-06,3.95308398011429e-07,1.39313421315848e-17,1.8846885135502422e-05,1.4079215598955727e-05,1.1107675891855579e-07
0.06,0.1253,5.003482843128166e-05,6.586584665206138e-06,0.007850338575946757,4.939712192306276e-06,1.567863693722168e-06,3.0677704277342076e-08,0.0009638689745343652,1.5962021883168063e-07,2.1232649079776212e-10,1.1062783257890888e-10,3.904663841674236e-05,1.2328039665714447e-10,0.00017518715237687621,9.576033502104163e-06,0.00028107519090681514,8.236411486303713e-05,1.797703511538738e-08,0.0005519734843959451,2.2703509935876613e-07
0.08,0.1516,8.494941287987892e-05,1.4551342503813758e-05,0.010690154437924535,1.0784437290924127e-05,4.290618028869153e-06,5.686765786919826e-08,0.0018419098921804464,1.4033346476370408e-08,6.296757079493428e-12,4.061744344909619e-10,7.949977025396478e-05,7.197263633511078e-09,0.0005232103843855492,0.00010949750999483488,3.719581785358203e-05,0.00027090461627863016,6.654206416445762e-05,5.0203616688756214e-05,4.931569912416768e-05
0.1,0.1743,0.0001422143742837436,2.886963920796738e-05,0.013827640917327317,2.1729296401147714e-05,9.957006540434386e-06,3.512739462744703e-07,0.003072984617809726,7.770369849484805e-08,1.5717097340927306e-09,2.78855681210402e-11,0.00012238862295218002,3.960119448790617e-08,0.0012674227122459417,1.8593617075063695e-05,0.00016767298162728047,0.0005147657222572662,2.9246599091577674e-06,0.0011794792498368053,0.00010988104746107789
0.12,0.1941,0.0002126702566385999,4.207347101087432e-05,0.01738949109850505,3.295804850373308e-05,2.2329794061232467e-05,9.384022680066607e-07,0.004691983311200644,9.810943562115971e-10,1.176155453663625e-10,8.436165171520645e-12,0.0002127958733415479,3.6515225795002363e-10,0.00034424328255332166,0.00034192295283406006,6.692145492515607e-06,0.0002948673727259118,2.3771730979772444e-06,1.5395087610336579e-06,1.539508760183898e-06
0.14,0.2113,0.00031396540986501647,6.461827904174235e-05,0.021754990199557723,5.4600950538590905e-05,4.561079889349231e-05,2.205486338188708e-06,0.0069547511467878504,3.422929687117025e-10,8.927087827951421e-14,2.894792970595522e-13,0.0003277100565998974,4.798914870860471e-12,0.00016559546540841535,0.0005330146982952498,0.0009722795381836813,9.436559673638594e-05,0.003187723303403279,1.0701335857214813e-09,0.0005030947333484804
0.16,0.2262,0.0004636426712183558,0.00011066258920171473,0.027265517224808664,8.825038608045003e-05,8.927931617512473e-05,5.844960154040666e-06,0.010096717779940714,6.213215515748688e-07,1.4784833767040828e-07,3.2935951528685598e-09,0.000518551015908695,1.8034767146977031e-07,0.00018274316209749872,0.0004069678130834438,0.0006042747736458943,5.592522288105755e-05,0.0007080848551899905,2.5893012784097417e-05,0.0002173724911831674
0.18,0.2389,0.0006412330977693489,0.0001717554023147695,0.033002079963313044,0.00013350205553835784,0.0001588004287913177,1.3300234822306815e-05,0.013474695081105617,4.002841991908734e-15,9.724029383073925e-15,2.729008524334478e-14,0.0008843801381272946,2.4874902167549154e-15,6.474515513729757e-06,8.510631778374419e-08,9.141423821419172e-05,1.15523839000019e-06,2.6730076727422464e-05,1.1911692022576238e-06,2.0780852255293737e-06
0.2,0.2502,0.0008136606812035778,0.00019283951388691657,0.03461532653214698,0.00015710013522849035,0.00017755141770725412,1.6090927506802878e-05,0.014529068198691611,1.5512704044509744e-06,7.279764775435396e-07,1.7642930351145042e-10,0.0011568266787530476,2.7758646343371695e-08,1.0611960204652105e-07,1.285999323095396e-07,0.00022894935613250922,8.108612873747842e-08,0.0003092420400423279,3.119122225283273e-05,0.0006676603174952481
0.22,0.2604,0.0009119848613463934,0.00020036712304764416,0.037399205146086856,0.0001640523359413423,0.00020047232851495462,1.7731169712086496e-05,0.01629893781373098,3.703662605243081e-06,7.534673765575699e-07,1.2083506991839132e-09,0.0019487194495592182,3.02971707884507e-08,2.7019223146083693e-08,1.485761547757558e-08,0.00041298541967570856,1.838480633851273e-08,0.0002934604568838484,0.00029345962219479556,0.00029345962219478504
0.24,0.2698,0.0010566259390137555,0.00022159848662735637,0.03966189202389193,0.00019227586633233616,0.00024221516221753928,1.9979943370352745e-05,0.017885348958701353,8.272190700786984e-06,2.3533812049555868e-06,4.979913848694649e-13,0.0027083065100934932,2.1694130473282384e-11,6.644069778259295e-11,4.742534708685734e-11,0.00032896901792311864,3.0858464708556076e-14,0.00219855709197005,2.5931970575776597e-13,2.227200445918619e-12
0.26,0.2783,0.0014598127805797803,0.00033150085180987555,0.04207439801963749,0.00027681588025231415,0.00031677124584410964,2.1504302468263177e-05,0.02041884933675107,2.9903619633746637e-05,6.827193146267129e-06,1.490540012611688e-07,0.004102264208271242,2.49830052837929e-08,7.223601846790871e-09,7.310897703666392e-09,0.0003357375425560286,1.4583248766578799e-08,1.38337848187678e-07,0.00111995773261232,3.573424109215248e-05
0.28,0.2858,0.0014818027380364464,0.000314711481564233,0.04439756477146655,0.00026152785573801263,0.0003530352421292641,3.782083922387722e-05,0.021936590104569744,2.3420518982914033e-05,9.73743380356959e-06,3.449716028797612e-07,0.004968170788269845,1.6781114371581513e-12,6.57347344025089e-13,5.004626137413238e-13,0.000547755129091963,1.9364369093875835e-12,0.0011713027339131153,0.0001241985711476908,0.00012419857151583
0.3,0.2928,0.0016599742480910612,0.00041952248073179213,0.04756159825037141,0.00030991071199865523,0.00044300424375168994,3.740105068799172e-05,0.02477677625524533,5.470804763977308e-05,2.840281180550279e-05,4.6931892144205096e-07,0.006665297722979225,2.1817527634267e-06,1.2153861317724367e-06,9.834022961108133e-10,0.0008371217693636606,1.2083980661068125e-06,9.770339759696549e-05,0.0031958871515365625,0.00012623143203393042
0.32,0.2989,0.0022573398360587267,0.0004678359587454969,0.049545971319849356,0.0004373768770855411,0.0005412863627377099,5.7876659817736574e-05,0.02761424358446439,9.944025409671717e-05,5.819417916273509e-05,1.3246709965279489e-06,0.008376134491286479,1.9846149306077182e-07,2.842951901931419e-07,9.852185953361844e-08,0.0007861934235642049,6.382783535626798e-09,0.0007244060110344747,0.0016333625950383827,0.00037413815573075423
0.34,0.3043,0.0023138013299750073,0.000441802160486847,0.05497548395537049,0.00042201562189722467,0.0007447013518288829,7.30394822300066e-05,0.03154109947831261,0.00011956856350459827,8.842285066764318e-05,2.8371933814351447e-06,0.011194342850431494,1.2905796288910881e-14,2.339500455433365e-11,5.5992732969004016e-15,0.001122944948845396,9.04880788007381e-15,1.0329962267389479e-05,0.0003237959826372754,0.00047897482911051626
