w,Time,omid,zmid2,zmid1,t_bar,o,z2,z1,g,b
0.02,0.1128,3.64165499892062E-06,5.13695891272173E-07,0.00244854886919277,2.88849039366046E-07,1.86949542851816E-07,0,0.000619131413945956,0.999999999999999,0.999999999999899
0.04,0.1879,1.34674292445625E-05,1.7270662547267E-06,0.00459765417744634,7.78335006826404E-07,5.03839106579119E-07,3.26645358361765E-26,0.00117620300511868,1,1
0.06,0.2492,2.86863644805317E-05,3.40829111597475E-06,0.0065471078808601,1.2441651053486E-06,8.0179260449824E-07,1.78970667952306E-10,0.00169512428984566,0.999999999990285,0.999999999999967
0.08,0.3018,4.90562622644735E-05,5.42842280376308E-06,0.00832236297569832,1.59401858204232E-06,1.01707316050944E-06,6.64049984967256E-10,0.00218246056350227,0.999999999019016,1
0.1,0.3482,7.40097795422825E-05,7.75364994199796E-06,0.00993834391696051,1.79213030722208E-06,1.14107534629644E-06,4.45075366214004E-20,0.00263996457995791,1,1
0.12,0.3898,0.000103424893196289,1.02544654268028E-05,0.0114009938170628,1.84653247107878E-06,1.17201892030311E-06,9.86841200386584E-23,0.00306924830144494,0.999999999959999,0.999999999901306
0.14,0.4275,0.000137002242786173,1.28848464662128E-05,0.0127147849177404,1.75561683553338E-06,1.10387837954456E-06,2.40276134583337E-14,0.00347055743360853,0.999999999999926,0.99999999999957
0.16,0.4621,0.00017450521564601,1.559443577109E-05,0.0138818374652496,1.57193556289816E-06,9.82816133191004E-07,1.10939367710427E-13,0.00384361049709543,0.999999999999974,1
0.18,0.494,0.000215614079582448,1.83189446152297E-05,0.0149035848289038,1.31232189051518E-06,8.16230512542343E-07,2.66057418084491E-13,0.00418781513691518,0.999999999999856,0.999999999999988
0.2,0.5236,0.000259918558855429,2.09802932879927E-05,0.0157805218438426,1.02180862986837E-06,6.29691463399474E-07,5.93614860417112E-13,0.00450235019075474,0.999999999992103,0.999999999972816
0.22,0.5513,0.000307036523858278,2.35287548098542E-05,0.0165125705638667,7.34751691279244E-07,4.49350347831681E-07,0,0.00478609925946837,1,1
0.24,0.5774,0.000356465650369775,2.5924518466979E-05,0.0170996885226174,4.74486923719191E-07,2.87328274989835E-07,1.36943526737307E-21,0.00503768679444466,0.999999999999999,0.999999999999997
0.26,0.6021,0.000407508564748219,2.80506731414501E-05,0.017542123807903,2.65723267054262E-07,1.58511478037459E-07,1.34369474145794E-16,0.00525548700190461,1,1
0.28,0.6257,0.000459525083817902,2.98683995904757E-05,0.0178387567557736,1.27767775644902E-07,7.4401325279426E-08,3.76863872364071E-15,0.00543812991250755,0.99999999994203,1
0.3,0.6482,0.000511990888955413,3.12334350517681E-05,0.0179890749721939,2.41797721121716E-08,1.22569249639703E-08,7.19073921545689E-17,0.00558403541210841,0.999999999999999,1
0.32,0.67,0.000563013857883003,3.23331014673124E-05,0.0179966945371565,4.59981965506003E-10,3.20299233128996E-10,3.34146545653764E-12,0.00568978715714639,0.999999999989435,0.999999999983932
0.34,0.6911,0.000612420839990068,3.28759159413884E-05,0.0178577187447381,7.07785754685817E-14,5.6823992122819E-14,1.80244861947021E-14,0.00575504495538018,0.999999999999995,0.999999999999999
0.36,0.7119,0.000658754172728572,3.2874230811772E-05,0.0175745777973291,1.02032375882322E-12,7.20504442790415E-13,4.75064594717118E-14,0.00577692620483148,0.9999999999701,0.999999999979027
0.38,0.7323,0.000700699144786874,3.23345759684017E-05,0.0171478100379559,0,0,8.344600101869E-18,0.00575303239209437,0.999999999997162,1
0.4,0.7526,0.000736801986196393,3.12213616230514E-05,0.0165785223213699,1.04411861008376E-20,1.33872229631749E-20,0,0.0056807071466923,1,1
0.42,0.7727,0.000814202586595656,3.45290702267382E-05,0.0168924637876209,1.50810261709571E-18,1.93813207610579E-18,3.75802547634702E-18,0.00592060459574178,0.97537535587724,0.996071502517801
0.44,0.7918,0.000929419062859249,4.17470836673035E-05,0.0178160347168465,2.54052059893113E-15,1.48898324205684E-15,1.78371086362897E-16,0.00639635926559512,0.936574788615216,0.989440682938122
0.46,0.8098,0.00105465961234025,5.00396881673725E-05,0.0186994793175376,0,0,9.49364885014404E-21,0.00688429123445599,0.899837537454999,0.982639184081847
