memory,Time,omid,zmid2,zmid1,t_bar,o,z2,z1,g,b
weight is ,0.3
0.0,0.6482,0.0005112769498808757,3.1312987872422856e-05,0.017991056729075843,4.832960575263082e-08,2.9485050663598078e-08,2.536100214874109e-13,0.00558348400939715,0.9999999980793788,0.9999999994043113
0.01,0.6432,0.0005115149078477189,3.134553106308976e-05,0.017992360950229568,4.887237615845381e-08,3.3562134699436685e-08,2.6469779601696886e-22,0.005582536195413958,1.0,1.0
0.02,0.6382,0.0005116262335624469,3.1298738656829215e-05,0.01799091199210686,3.0063563707449213e-09,1.243136315788322e-09,1.3223167100604918e-20,0.005583574449245484,0.9999999999990129,0.9999999999976971
0.03,0.6332,0.0005299903553446397,3.3876151648447494e-05,0.01829763616690584,4.322386798068735e-08,2.100230746703518e-08,1.2551909042955052e-14,0.0054089867490014374,0.9999999999999606,0.9999999999999739
0.04,0.6285,0.0005796301811418602,4.023168079841635e-05,0.01908538475248256,3.629098542471819e-13,7.406067458013331e-14,0.0,0.004959426279724182,0.9999999999983844,0.9999999999973894
0.05,0.6242,0.0006314290077120755,4.7667973640272054e-05,0.01984381778442464,8.497802779341526e-11,2.814490665621357e-11,5.068018229562896e-12,0.004520974025095611,0.9999999999999011,0.9999999999997654
0.06,0.6204,0.0006823879934302877,5.528612583197624e-05,0.020533818972932733,0.0,0.0,5.70007248536289e-18,0.004117396942121548,1.0,0.9999999999999991
0.07,0.6204,0.0006818919249851316,5.5428297787565947e-05,0.020534776081538447,6.30743926722926e-15,2.2241631317451763e-12,2.470849684218869e-15,0.004117272349821629,0.9999999999999976,0.9999999999999951
0.08,0.6204,0.0006819383226744513,5.5441179360911635e-05,0.020534616568242143,0.0,2.501750518040262e-12,0.0,0.004117293002575309,1.0,1.0
0.09,0.6204,0.0006818467759578823,5.550698320418446e-05,0.020534685954653083,2.8495605087745776e-14,2.2227252079583393e-14,0.0,0.004117283795040538,0.9999999999999934,0.9999999999999851
0.1,0.6204,0.0006819974197439499,5.538754847148785e-05,0.020534599947232113,3.1934167799583605e-19,4.645271123415558e-14,5.022570972472027e-21,0.0041172956057469266,1.0,0.9999999999999978
0.11,0.6204,0.0006807571055085848,5.4640106784232036e-05,0.020539977462276385,1.089481080620597e-12,2.8665086594666868e-12,0.0,0.004116594610270247,1.0,1.0
0.12,0.6204,0.0006818840323057995,5.543980694726656e-05,0.02053476632070701,0.0,0.0,6.710595280952657e-12,0.004117273511481377,0.9999999999987225,0.9999999999970071
0.13,0.6204,0.0006818915558973235,5.539836868873302e-05,0.020534856863804053,2.330473661533941e-16,6.18014431878473e-11,1.1344054306661738e-15,0.004117262376409916,0.9999999999999997,1.0
0.14,0.6204,0.0006820123697292724,5.543239331257911e-05,0.020534437540807568,0.0,0.0,2.5906627505038436e-12,0.0041173169965474975,0.9999999999999827,0.9999999999999684
0.15,0.6204,0.000680981529904517,5.510217809615929e-05,0.020538114400439584,5.2754328965070864e-12,3.573750750386615e-12,1.2230522241449584e-12,0.004116839588956223,0.9999999997688552,1.0
0.16,0.6204,0.0006824320054391928,5.53358703807884e-05,0.020533565710937438,2.9518173055611945e-12,5.703059739943484e-11,6.93568349993211e-13,0.00411742874003582,1.0,0.9999999999877012
0.17,0.6204,0.0006818843971580746,5.543762801205203e-05,0.020534771244324807,7.858661885771153e-13,7.887664741587252e-13,7.531146439465738e-15,0.0041172728969913,0.9999999999999998,1.0
0.18,0.6204,0.0006818846357547747,5.542960591747993e-05,0.02053479205700677,4.2225946023000356e-11,2.0861656281289313e-11,3.2565322707588897e-12,0.004117269925043787,0.9999999861572212,0.9999999999998619
0.19,0.6204,0.0006812469064713078,5.540410493951861e-05,0.020536585434593163,4.72146222773601e-12,4.2210063965729014e-12,0.0,0.004117037037080979,0.9999999889376933,0.9999999999999972
0.2,0.6204,0.0006914670719552937,5.1460977042888495e-05,0.020519688961545074,6.105460857532828e-11,6.918407672135097e-16,0.0,0.004119207763172444,0.9999999979459354,0.9999999999988394
0.21,0.6204,0.0006818802707202204,5.5450782528654884e-05,0.020534747748034692,0.0,0.0,0.0,0.004117275976419202,0.999999999999999,1.0
0.22,0.6204,0.0006818857100355812,5.545273055600666e-05,0.020534727382740942,5.697026433608024e-14,2.6706809283191797e-15,2.0439984169745053e-14,0.004117278376900746,0.9999999999916815,0.9999999999999843
0.23,0.6204,0.0006818638850976683,5.545087552136997e-05,0.020534791131332563,7.372326290540812e-13,7.406793777740046e-13,0.0,0.004117270234275053,0.9999999991294296,0.99999999796867
0.24,0.6204,0.0006740155911124987,5.474598631210189e-05,0.020557936019569453,2.414140387853402e-10,3.4586516267718594e-11,8.909899247217024e-11,0.004114249000194141,0.9999999999999931,0.9999999999999821
0.25,0.6204,0.0006818185557279262,5.5489730972783046e-05,0.020534809043744575,3.1275938852501146e-12,3.088932068119335e-12,1.105939364363557e-13,0.004117267575635801,0.9999999995387339,0.9999999999478385
0.26,0.6204,0.0006818796897522521,5.5485836273556184e-05,0.020534653691279655,0.0,0.0,4.239354219234063e-12,0.0041172881438182535,0.9999999999999215,0.9999999999999122
0.27,0.6204,0.0006786522605547561,5.4996219355985395e-05,0.020544772712097967,2.9169089233704873e-10,2.0416932868642955e-10,1.4576353083752529e-10,0.004115979486672323,0.999998828540059,0.9999995533232353
0.28,0.6204,0.0006815718852675416,5.5474201915810065e-05,0.020535513844377237,0.0,1.2279330612073346e-12,2.0854865294180108e-11,0.004117177395031996,1.0,0.9999999999998491
0.29,0.6204,0.0006819473356150333,5.549760365957379e-05,0.020534435045253367,0.0,4.5996683210943696e-12,3.6135701859799565e-14,0.004117318095111554,0.9999999999979717,0.9999999999963084
weight is ,0.375
0.0,0.7272,0.0006907957291196498,3.2542079904692415e-05,0.017267979886228545,8.891886833078537e-14,0.0,2.9169577742363964e-15,0.0057632912494771475,1.0,1.0
0.01,0.7222,0.0006906493331096357,3.2346671361130024e-05,0.017268647339345265,4.847980610600136e-11,5.995516068629006e-11,0.0,0.005763299248373628,1.0,1.0
