w,Time,omid,zmid2,zmid1,t_bar,o,z2,z1,g,b,p
0.622,0.9145,0.0024716426578724813,0.0001675114340332041,0.023600943333981977,1.8891154818049917e-07,1.1729921092873972e-07,1.7205356741102976e-22,0.011177739955278434,0.6576042551457435,0.9239546485214213,7.179344513125499e-07
0.624,0.9153,0.0024936464085616606,0.00016964484901354205,0.023628208800057924,2.3751506135256336e-07,1.4880527744668331e-07,1.5414038963759936e-32,0.011233281369225792,0.6550598500629986,0.9232201431480167,7.665979961948787e-07
0.626,0.9161,0.00251618926387026,0.00017173613052524114,0.02365560056718204,2.5226924675669147e-07,1.5713303695098737e-07,5.360129294036592e-23,0.011288421250111215,0.6525199628723706,0.922490581979643,9.850450663539387e-07
0.628,0.9169,0.0025385220431164246,0.0001738741714675189,0.02368084505215725,2.8470360920651173e-07,1.7984245875523686e-07,6.17335632121057e-14,0.01134386020500846,0.6499952647855076,0.9217565968129893,9.834281969537671e-07
0.63,0.9176,0.0025610877880567415,0.00017602735455375155,0.023705674996780897,3.016659132169748e-07,1.8954271837462658e-07,2.336576651137602e-22,0.011399463212075434,0.6474713985727154,0.9210280307676331,9.678639125376792e-07
0.632,0.9184,0.0025844128683207117,0.00017787411716634443,0.02372837023332307,3.486177987884133e-07,2.200953472297229e-07,7.858215819253763e-24,0.011454973830134354,0.644956569347098,0.9202975896186608,5.200572875450244e-07
0.634,0.9194,0.0024149999163620554,0.00016212369743202903,0.023523557789014517,1.992396277292723e-07,1.1479334050211993e-07,3.206259404364169e-22,0.011034696320112473,0.6642173407901899,0.9258692129042212,0.01718001842175588
0.636,0.9199,0.0024296486831645327,0.00016356064675696635,0.023545280325268814,1.4951480426227968e-07,9.213831501248207e-08,1.4454182999530459e-15,0.01107199660223141,0.6624795858631073,0.9253491094747547,0.01780908724030016
0.638,0.9203,0.0024446995772563216,0.0001650392674250652,0.02356613254819142,1.825493928116492e-07,1.1341493053577637e-07,3.298366037637065e-31,0.011111708187920998,0.6606932171057415,0.9248536602934783,0.01844496133454987
0.64,0.9207,0.0024599424582845268,0.00016641014954876823,0.023585801038660707,1.790805921628879e-07,1.1105820362224837e-07,2.68924171959232e-22,0.011148176953183831,0.65896247541382,0.924345443441179,0.01906643683735597
0.642,0.9211,0.0024751733677166373,0.00016780662303222694,0.023605270231885737,1.9480763570386837e-07,1.2124824233611912e-07,3.077194977230883e-22,0.011186142455265493,0.657212375731427,0.9238413801801356,0.01969304582929326
0.644,0.9215,0.0024902955888802523,0.00016926949728875,0.02362425195322916,2.1337252416390184e-07,1.3361150634018127e-07,3.1762415673284383e-22,0.011224230168836977,0.6554658629286916,0.9233392432974132,0.020320625091988582
0.646,0.922,0.0025058629223485493,0.00017075045555934608,0.023644435317841047,2.4017347704185e-07,1.5037918195588607e-07,4.128381276810648e-26,0.011263059670169549,0.6536904941223264,0.9228444534787811,0.02094662892692366
0.648,0.9224,0.0025208579794085803,0.00017224752276354135,0.023661125063349813,2.731876431812091e-07,1.6507342022546424e-07,2.04782776920937e-12,0.011300426600508996,0.6519778011642144,0.9223324831661607,0.02157495056701967
0.65,0.9228,0.0025363162472411913,0.00017365127323147218,0.02367869918457132,2.709209577124654e-07,1.7115004868553151e-07,9.811286902761861e-18,0.01133833991632028,0.650245060417353,0.9218328051931676,0.022201365123614834
0.652,0.9232,0.0025517595636718963,0.00017512809964180222,0.023695602151033897,2.882160501685351e-07,1.811725764769537e-07,9.569710409268859e-24,0.011376455347406337,0.6485148654532634,0.9213300471382826,0.022828834016190687
0.654,0.9236,0.0025672660945179017,0.00017661913213810128,0.0237123258778789,3.0960182264330073e-07,1.9537478324346855e-07,0.0,0.01141452099729713,0.6467854798219903,0.9208286000041944,0.023455832764816855
0.656,0.924,0.002582724906778438,0.0001781057199760558,0.023728568280927547,3.363400504623491e-07,2.1281998414210194e-07,1.1165315458952438e-18,0.011452459973123531,0.6450635488021215,0.9203270440287874,0.02408398496125559
0.658,0.9243,0.0025984712256269175,0.00017960452566412633,0.023744305493577353,3.608725066260375e-07,2.2813045432547243e-07,1.1238696440615614e-21,0.011490662620886084,0.6433367939247765,0.9198266308496202,0.02470958477237999
0.66,0.9247,0.002614105871738933,0.00018111442711447463,0.023759594960247307,3.850690710762409e-07,2.438059703423325e-07,0.0,0.011528755888683864,0.641618366344558,0.9193263639313743,0.02533656776187086
0.662,0.9251,0.002630061401635616,0.00018265298089709643,0.023774203903680815,4.3238253241093077e-07,2.7474491999776234e-07,6.370156447139084e-27,0.011566999529073153,0.6398956280666693,0.9188241230855491,0.025962158527581592
0.664,0.9255,0.0026456768159720295,0.00018418415061184805,0.02378834793804329,4.506477575627988e-07,2.855819204006956e-07,2.2509281276693193e-22,0.011604918938479349,0.6381904843035723,0.9183263007206505,0.026589714121226092
0.666,0.9258,0.0026615446557979455,0.0001857066485990781,0.023802725798476827,4.7348761823684246e-07,3.0132583701032205e-07,3.032668426039618e-20,0.011642928505456441,0.6364790538739913,0.9178281481864605,0.02721634239936314
0.668,0.9262,0.002677442510580756,0.00018730246231787789,0.02381609556203204,5.103120878994961e-07,3.2522780459398957e-07,5.208064312304273e-22,0.011681252387080033,0.634768665574365,0.9173281037878511,0.027842616201531892
0.67,0.9266,0.0026936119935926416,0.0001888485134361391,0.023828031655002375,5.432580134214216e-07,3.465534951909273e-07,4.957366216604088e-28,0.011719603830819122,0.6330613968445575,0.9168341697321732,0.028465014858426434
0.672,0.9269,0.0027092997489583386,0.00019038349767475923,0.0238413918347047,5.712900024132757e-07,3.661698643634915e-07,2.0457080864694858e-20,0.01175739534664435,0.631369706908658,0.9163321816710744,0.029096481747454696
0.674,0.9273,0.0027254862807362438,0.00019185844152465022,0.02385323051272524,6.202153769747279e-07,3.977415617592683e-07,0.0,0.011795472236050389,0.629671860525202,0.9158346578274748,0.029722866254913917
0.676,0.9276,0.0027415948444922435,0.00019346597440215112,0.02386476838542947,6.559839636629643e-07,4.188840870339295e-07,2.6575879207629808e-12,0.011833379691574837,0.6279814676004354,0.9153363728080282,0.03035031327255312
0.678,0.9279,0.0027578041025666045,0.00019509459542334725,0.023875670389983013,6.937926278763962e-07,4.4466733145860866e-07,0.0,0.011871732772911498,0.626285180971692,0.9148421452031457,0.030975390579222148
0.68,0.9283,0.0027739346667801754,0.00019668911472562456,0.023886206751837006,7.370856570699888e-07,4.728431078998255e-07,0.0,0.011909628809295374,0.6246007407039015,0.9143459767904834,0.03160164213915497
0.682,0.9286,0.0027902114653568896,0.00019828518177564047,0.02389635863398686,7.808786317638878e-07,5.020451104855974e-07,0.0,0.011947798335118533,0.622916169207941,0.9138501014837095,0.03223072554158361
0.684,0.9289,0.002806325390694462,0.00019993474952511296,0.023906861264269746,8.430326693211253e-07,5.429948313103062e-07,0.0,0.011985418377661471,0.6212366923773934,0.9133549826352005,0.032860178806123456
0.686,0.9293,0.0028230222736695507,0.0002015177373137743,0.023914487722241883,8.775781549479474e-07,5.653477903918387e-07,0.0,0.012023982300498266,0.6195552724545778,0.9128599519397079,0.03348185158985979
0.688,0.9296,0.002839531634131908,0.00020316959747440427,0.02392322025999344,9.397094433888622e-07,6.064358227355974e-07,4.5175576486184093e-13,0.012062099081667317,0.6178749648220546,0.9123663344820473,0.034108639120690294
0.69,0.9299,0.002856080723449293,0.00020481760923547225,0.023931247986634572,9.892893686746617e-07,6.388027158256023e-07,0.0,0.012100197069410927,0.6162008970628496,0.9118733749974417,0.034735085698424595
0.692,0.9302,0.002872654084281108,0.00020644175599464958,0.023938720989913894,1.0423741487217957e-06,6.742454844693001e-07,2.650677365524807e-22,0.012138398087717136,0.6145297974109534,0.9113799019824492,0.03536189023167661
