time,memory,g,a,l_1,l_2,l_3,l_4,l_5,omid,zmid2,zmid1,tbar_1,o_1,z2_1,z1_1,tbar_2,o_2,z2_2,z1_2,tbar_3,o_3,z2_3,z1_3,tbar_4,o_4,z2_4,z1_4
0.3055,0.30201811923275845,1.0,1.0,0.26960454181478377,0.29855357094747376,0.28843261246756047,0.10940778076505656,0.09802903942126345,0.005419337130499195,0.0017742102759856493,0.07649313592028723,0.0010184188107558506,0.0008121725491657287,5.357528379312689e-05,0.028374924837908527,0.00029476651098497283,0.0003291125376056366,2.3461232472999246e-05,0.017665856246952057,0.00015240124526090472,8.099434220804584e-05,2.809450535399072e-06,0.0022840051915656986,7.558778554198414e-05,0.00010107465607047844,0.00012876489503161213,0.0002386136066635809
0.3052,0.3013230020628711,1.0,1.0,0.27035676139897546,0.2904140922884393,0.2974737060441729,0.16528535726714524,0.10395765957373872,0.006731213012908222,0.0026655499923921694,0.08880635286434904,0.0013949650041164,0.0011863541865076983,8.928629333796442e-05,0.033587502441640986,0.0004158169319270039,0.00042638406367974006,4.2887951167289684e-05,0.02000108361889608,0.0001949605373648669,0.00013548482008714615,1.3388911997878736e-05,0.0048525409228141955,5.9053262567767853e-05,2.723784751732893e-05,1.4697775140252944e-05,0.00010606271742476283
0.305,0.3033895890803668,1.0,1.0,0.26783689409555966,0.2938442903814695,0.30185776989669044,0.14721350460194021,0.09518257964085879,0.006104154099434651,0.00218072960101103,0.08429621212754072,0.0011540853068428302,0.0009962063281037747,6.919985602371326e-05,0.0317195026008816,0.00032159982690594573,0.0004190492123510748,3.4139381243310955e-05,0.01977803367387538,0.00021200838262363608,0.00012898007058472635,3.940334237340868e-06,0.0035065091376349222,1.99681777240917e-05,1.3212273787356745e-05,1.0400224105434627e-06,5.2440899926429715e-05
0.3056,0.29838548936132203,1.0,1.0,0.22792866241488857,0.2832248344486865,0.2911927965058071,0.15516390389613674,0.14649918201486728,0.006759093118745334,0.0026739682597779982,0.08987994037739291,0.0013728040981613307,0.0011027883054971527,8.582823193623266e-05,0.03421366142244273,0.0003714618870972209,0.0004983615509539172,4.10367324697755e-05,0.022879151132525023,0.00018769445018449675,0.0001681994700262019,1.1827014348326037e-05,0.006567500489399948,8.271441248500624e-05,0.00022997166283921622,0.00010420438969718536,0.001368591776857125
0.305,0.29949126149241,1.0,1.0,0.2626470377121504,0.2859731126016824,0.29393623033277566,0.17906442485663351,0.11717967508052843,0.006832298711757841,0.0026126072039960495,0.08905475369170229,0.001354336512756723,0.0011537687234994167,8.954655013647248e-05,0.0345143963335937,0.00038324783759022697,0.00044699728316167496,3.5327940363779015e-05,0.022796581421530245,0.00012530992184217807,7.85958780457247e-05,2.0817998375242137e-06,0.006472923593868768,7.184163742077062e-06,8.889643975738731e-05,9.95873924580412e-05,0.0002038096442146907
0.3109,0.2799910296988153,1.0,1.0,0.26570139937468384,0.2491124155072194,0.24934073306753948,0.2149995226132985,0.17203341821930487,0.007261086773474343,0.0030258253887178537,0.09486914362488895,0.0013717985542933168,0.0011883873705258873,9.135859163981601e-05,0.03707094389342624,0.00025248771404933764,0.00033266710392881296,1.818133406893708e-05,0.025121010677100743,0.00013599613628063534,0.0003571819150041519,5.3041359774583954e-05,0.011857723185046715,9.74634354906318e-05,0.0007864700039496708,0.0006519014691501532,0.000537674062452999
0.3205,0.25999907095106534,1.0,1.0,0.2598138697912689,0.19950532496073695,0.1995251405212682,0.1729157178385402,0.3247245425913327,0.0074245465171047425,0.003130217520679436,0.0962976731610163,0.0014195673294533319,0.001228421428543901,9.329497173180068e-05,0.037648194204796225,0.00042602203348521197,0.0006962634737217063,6.461028554903721e-05,0.02951170436878867,0.00029577802216497744,0.0007447127039453293,0.0002626404301621688,0.019334183249463753,0.0003205936022229538,0.0010145518448127894,0.0022878899956704055,0.006292240476462752
0.3346,0.2399963512954012,1.0,1.0,0.239982294531773,0.1454740908654956,0.14544775714876512,0.17759387786015907,0.4291583964838024,0.0065993081086661255,0.002482223242046072,0.09345366423478155,0.0009985030020037832,0.0008804634905632742,3.451439163510905e-05,0.03611982141878997,0.00031890753270821863,0.0008832793340837659,0.00011276828089628692,0.037513747195966146,0.0002734689052350066,0.000865067454712515,0.0002103450194151625,0.02914139207726345,0.00041608524075427194,0.0009964112158744906,0.0005230035151519548,0.015170044552457889
0.3635,0.21999899190196964,1.0,1.0,0.21574997119000228,0.08189466764911414,0.1022256864178769,0.11925535827563699,0.5070722498593098,0.004370650493053259,0.001101168231233462,0.07404463904026373,0.0003228499736973046,0.0002561862748689208,4.696218063723446e-06,0.027860328010523305,8.970419682934557e-05,0.0007725259173380711,0.00011827432537122413,0.0421111631741408,0.00022091199031930696,0.0008000491157250268,0.0002950118002120645,0.03259509648272107,0.0003402453692574052,0.0013560970674478038,0.0012298630805056177,0.020348147949421903
0.404,0.1999990454195209,1.0,1.0,0.18077041513099731,0.03894686865533204,0.046950612640242764,0.0636395224495691,0.6060611217941635,0.003304781424325082,0.000675730930145927,0.06209046594491226,0.0002202495605107176,0.0001661354817662677,2.3943092474952062e-06,0.022610079169280935,5.756960684422205e-05,0.0006205576568550623,0.00012475175193591413,0.04382827106160674,0.0001464278502622642,0.0007676543180410661,0.00021500787161743656,0.03942689329856292,0.0003152968026634659,0.001304137458268881,0.0008279106811308868,0.030192689951857078
